
="",="(1)",="(2)",="(3)",="(4)"
="",="Number of deaths",="Number of deaths",="Number of divorces",="Number of divorces"

="Number of marriages",="-0.0849",="",="0.260***",="0.190**"
="",="(-1.63)",="",="(4.36)",="(3.20)"

="Population",="0.00949***",="",="0.00271***",="0.00342***"
="",="(19.08)",="",="(4.74)",="(5.98)"

="Urban population",="",="0.00992***",="",=""
="",="",="(28.57)",="",=""

="Constant",="650.9",="6464.6***",="-963.3",="-7786.2**"
="",="(0.48)",="(3.55)",="(-0.62)",="(-3.00)"

="Observations",="50",="50",="50",="50"
="Region FE",="No",="No",="No",="Si"

="t statistics in parentheses"
="Add a note here."
="Other custom note here."
="* p<0.05, ** p<0.01, *** p<0.001"
