="",="mu_1",="mu_2",="t",="mu_1",="mu_2",="t",="mu_1",="mu_2",="t",="mu_1",="mu_2",="t",="mu_1",="mu_2",="t"
="1 if NJ; 0 if Pa",="",="",="2.0",="",="",="1.9",="",="",="",="",="",="",="",="",=""
="KFC",="",="",="",="",="",="0.4",="",="",="",="",="",="0.5",="",="",="0.5"
="Roy Rogers",="",="",="",="",="",="-1.7",="",="",="",="",="",="-1.5",="",="",="-1.6"
="Wendy's ",="",="",="",="",="",="-0.3",="",="",="",="",="",="0.0",="",="",="0.2"
="Company-owned",="",="",="",="",="",="0.3",="",="",="",="",="",="0.4",="",="",="0.1"
="gap",="",="",="",="",="",="",="",="",="2.6",="",="",="2.4",="",="",="1.6"
="1 if in southern NJ",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.1"
="1 if in central NJ",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-1.0"
="1 if in PA, northeast suburbs of Philadelphia",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-1.8"
="1 if in PA, Easton etc",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.1"
="Constant",="",="",="-2.0",="",="",="-1.4",="",="",="-2.3",="",="",="-1.4",="",="",="-0.4"
